key,file,width,height,transparent,display,margins,status,sha256,checks
ui/background/options-backdrop,Source/Elements/Assets/UI/background/options-backdrop.png,1920,1080,False,cover,,produced,9e3b58ee239ceabc60500830f3327a2be79667c496953183af1fbf81fbe552f6,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/background/parchment-tile,Source/Elements/Assets/UI/background/parchment-tile.png,512,512,False,tile,,produced,ee5a0ebf85fe1334457a75539172d6f912bedf916f8ceaca8f392262bc0617c1,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'opposite_tile_edges_identical']"
ui/background/leather-tile,Source/Elements/Assets/UI/background/leather-tile.png,512,512,False,tile,,produced,1317358039f2751acb492f34638d16fb81702a3ec41222316192cfc888aea660,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'opposite_tile_edges_identical']"
ui/frame/panel-dark,Source/Elements/Assets/UI/frame/panel-dark.png,512,512,True,nine-patch,"{'left': 112, 'top': 112, 'right': 112, 'bottom': 112}",produced,8bca038c305cccb2ad4688315584893e39cee370964e87f1bf6de60bd10506be,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/panel-parchment/plain,Source/Elements/Assets/UI/frame/panel-parchment/plain.png,768,768,True,nine-patch,"{'left': 128, 'top': 128, 'right': 128, 'bottom': 128}",produced,ec8da626ed4f4f47097cc11da4e26ae0dd67c8f553ae8f31d987f9465dcd72a4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/panel-parchment/bound,Source/Elements/Assets/UI/frame/panel-parchment/bound.png,768,768,True,nine-patch,"{'left': 128, 'top': 128, 'right': 128, 'bottom': 128}",produced,700726fc4052ef74cf030fad8e2e65b14243e2fad48a0352d5eab48d41b30a65,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/subpanel-dark,Source/Elements/Assets/UI/frame/subpanel-dark.png,256,256,True,nine-patch,"{'left': 48, 'top': 48, 'right': 48, 'bottom': 48}",produced,043c984e4926c59b70083a7761c7edd366c6a912c5c772cf3bb701ad0f95c04d,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/subpanel-parchment/normal,Source/Elements/Assets/UI/frame/subpanel-parchment/normal.png,256,256,True,nine-patch,"{'left': 40, 'top': 40, 'right': 40, 'bottom': 40}",produced,f353848d8b3531d902228dd7dc348fe6d9ddfe7ff5e0257491d133771166c82b,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/subpanel-parchment/empty,Source/Elements/Assets/UI/frame/subpanel-parchment/empty.png,256,256,True,nine-patch,"{'left': 40, 'top': 40, 'right': 40, 'bottom': 40}",produced,9e08e8d31db907edd3b6622bedff984a82063c190b66324f21fe01f8ca045023,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/item-card,Source/Elements/Assets/UI/frame/item-card.png,512,768,True,nine-patch,"{'left': 96, 'top': 160, 'right': 96, 'bottom': 96}",produced,c812aea977f24254a4b48899cb5f035a2aea3daa64a3bbc71bb6c9669ec936dd,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
